666666.100008.522 -> Glycolysis|6|glyceraldehyde3phosphate_dehydrogenase_4|seed	gi|666666.100008.522|666666.100008|GCA_001942435.1_ASM194243v1_genomic.gbk|type_I_glyceraldehyde3phosphate_dehydrogenase|GCA0019424351ASM194243v1genomicgbk
666666.100007.1170 -> ALPHAKETOGLUTARATE_AMINOACIDS|3|Glutamine_synthetase_9|seed	gi|666666.100007.1170|666666.100007|GCA_001942405.1_ASM194240v1_genomic.gbk|glutamine_synthetase|GCA0019424051ASM194240v1genomicgbk
666666.100007.61 -> ALPHAKETOGLUTARATE_AMINOACIDS|9|Acetylornithine_aminotransferase_1|seed	gi|666666.100007.61|666666.100007|GCA_001942405.1_ASM194240v1_genomic.gbk|4aminobutyrate_aminotransferase|GCA0019424051ASM194240v1genomicgbk
666666.100008.913 -> PYR_THR_AA|8|isopropylmalate_isomerase_large_subunit_2|seed	gi|666666.100008.913|666666.100008|GCA_001942435.1_ASM194243v1_genomic.gbk|3isopropylmalate_dehydratase_large_subunit|GCA0019424351ASM194243v1genomicgbk
666666.100027.2135 -> ALPHAKETOGLUTARATE_AMINOACIDS|3|Glutamine_synthetase_7|seed	gi|666666.100027.2135|666666.100027|GCA_019457945.1_ASM1945794v1_genomic.gbk|type_I_glutamateammonia_ligase|GCA0194579451ASM1945794v1genomicgbk
666666.100030.2489 -> R5P_AMINOACIDS|4|phosphoribosyl_AMP_cyclohydrolase_1|seed	gi|666666.100030.2489|666666.100030|GCA_023015765.1_ASM2301576v1_genomic.gbk|bifunctional_phosphoribosylAMP_cyclohydrolasephosphoribosylATP_diphosphatase_HisIE|GCA0230157651ASM2301576v1genomicgbk
666666.100041.2381 -> PYR_THR_AA|9|isopropylmalate_isomerase_small_subunit_1|seed	gi|666666.100041.2381|666666.100041|GCA_035267225.1_ASM3526722v1_genomic.gbk|3isopropylmalate_dehydratase_small_subunit|GCA0352672251ASM3526722v1genomicgbk
666666.100040.895 -> OXALACETATE_AMINOACIDS|8|dihydropicolinate_synthase_2|seed	gi|666666.100040.895|666666.100040|GCA_030537745.1_ASM3053774v1_genomic.gbk|4hydroxytetrahydrodipicolinate_synthase|GCA0305377451ASM3053774v1genomicgbk
666666.100025.1510 -> E4P_AMINO_ACIDS|11|Indole3glycerol_phosphate_synthase_1|seed	gi|666666.100025.1510|666666.100025|GCA_014636495.1_ASM1463649v1_genomic.gbk|indole3glycerol_phosphate_synthase_1|GCA0146364951ASM1463649v1genomicgbk
666666.100026.1854 -> TCA|2|Aconitate_hydratase_1|seed	gi|666666.100026.1854|666666.100026|GCA_014644955.1_ASM1464495v1_genomic.gbk|aconitate_hydratase|GCA0146449551ASM1464495v1genomicgbk
